area_name,city_name,category,population,disease_outbreak_risk (%),malnutrition_rate (%),sanitation_score (0-10),waterborne_disease_risk (%),health_risk_category
Area 45,City 45,Slum,14341.51,67.94,45.83,0.47,52.69,High Risk
Area 46,City 46,Developed,105840.16,11.03,0.96,8.29,8.64,Low Risk
Area 47,City 47,Slum,9321.5,89.99,48.35,2.4,79.44,High Risk
Area 48,City 48,Developed,118724.58,7.54,1.54,8.98,13.44,Low Risk
Area 49,City 49,Slum,6019.85,87.09,35.37,2.46,53.29,High Risk
Area 50,City 50,Semi-Developed,49353.76,42.17,28.01,6.6,61.33,Medium Risk
Area 51,City 51,Slum,6457.44,58.21,45.57,0.3,97.4,High Risk
Area 52,City 52,Developed,81545.3,13.65,6.18,7.96,8.8,Low Risk
Area 53,City 53,Slum,9787.38,58.64,37.89,1.33,54.7,High Risk
Area 54,City 54,Semi-Developed,41444.45,32.65,13.24,6.73,38.64,Medium Risk
Area 55,City 55,Slum,14788.61,55.21,39.26,1.92,70.76,High Risk
Area 56,City 56,Developed,136008.5,7.25,3.97,9.41,29.16,Low Risk
Area 57,City 57,Slum,18400.54,54.98,38.17,2.04,93.9,High Risk
Area 58,City 58,Developed,74259.16,17.55,6.58,8.8,24.24,Low Risk
Area 59,City 59,Slum,10126.74,98.12,41.58,1.55,54.64,High Risk
Area 60,City 60,Slum,17116.55,81.34,40.13,3.08,77.76,High Risk
Area 61,City 61,Developed,122562.45,0.33,7.28,8.36,0.89,Low Risk
Area 62,City 62,Slum,8853.69,52.03,34.0,0.27,94.79,High Risk
Area 63,City 63,Developed,53609.89,14.33,6.11,7.43,3.67,Low Risk
Area 64,City 64,Developed,69129.13,8.0,4.51,7.2,15.36,Low Risk
Area 65,City 65,Developed,106931.98,17.59,2.01,9.3,20.07,Low Risk
Area 66,City 66,Developed,69800.41,1.37,0.16,9.36,15.65,Low Risk
Area 67,City 67,Semi-Developed,22132.55,25.69,13.43,5.94,36.2,Medium Risk
Area 68,City 68,Semi-Developed,23148.93,48.35,25.72,6.57,34.39,Medium Risk
Area 69,City 69,Developed,135081.19,3.64,7.58,9.92,19.0,Low Risk
Area 70,City 70,Semi-Developed,33142.16,28.63,10.69,5.74,69.9,Medium Risk
Area 71,City 71,Slum,6758.78,71.96,37.18,3.01,50.88,High Risk
Area 72,City 72,Semi-Developed,40949.83,42.92,12.84,5.25,37.85,Medium Risk
Area 73,City 73,Slum,17372.26,79.96,48.22,0.7,78.27,High Risk
Area 74,City 74,Developed,120362.35,18.17,1.93,9.89,20.52,Low Risk
Area 75,City 75,Slum,18950.11,66.49,35.93,3.46,56.42,High Risk
Area 76,City 76,Slum,19012.2,93.95,43.7,2.46,57.57,High Risk
Area 77,City 77,Semi-Developed,36252.64,41.07,28.62,6.54,44.34,Medium Risk
Area 78,City 78,Developed,132982.65,6.59,7.73,9.27,22.46,Low Risk
Area 79,City 79,Slum,9375.32,53.51,46.65,1.19,74.51,High Risk
Area 80,City 80,Slum,14425.87,57.73,45.92,2.04,74.02,High Risk
Area 81,City 81,Developed,56296.47,10.7,3.82,7.25,5.88,Low Risk
Area 82,City 82,Developed,88862.9,2.05,5.23,8.28,9.13,Low Risk
Area 83,City 83,Slum,17148.32,96.67,34.83,0.41,63.59,High Risk
Area 84,City 84,Developed,130045.17,14.64,7.21,9.11,17.63,Low Risk
Area 85,City 85,Semi-Developed,43927.17,26.7,19.61,4.59,57.1,Medium Risk
Area 86,City 86,Developed,99063.1,18.13,3.2,8.4,25.28,Low Risk
Area 87,City 87,Semi-Developed,39453.14,37.71,23.6,6.46,57.63,Medium Risk
Area 88,City 88,Developed,97708.76,2.74,8.32,8.89,10.77,Low Risk
Area 89,City 89,Developed,60001.0,6.82,6.34,7.93,23.47,Low Risk
Area 90,City 90,Developed,64766.97,11.11,6.08,8.95,9.47,Low Risk
Area 91,City 91,Developed,97894.97,12.94,8.64,9.24,29.13,Low Risk
Area 92,City 92,Slum,17394.14,80.36,43.88,0.35,55.4,High Risk
Area 93,City 93,Semi-Developed,30564.88,31.04,17.34,6.22,55.69,Medium Risk
Area 94,City 94,Semi-Developed,26064.16,38.89,26.45,5.72,65.36,Medium Risk
Area 95,City 95,Developed,67078.16,12.18,9.17,7.94,26.12,Low Risk
Area 96,City 96,Semi-Developed,25608.09,20.09,25.39,4.12,47.56,Medium Risk
Area 97,City 97,Developed,147669.65,11.0,3.99,7.58,12.6,Low Risk
Area 98,City 98,Semi-Developed,40359.53,43.63,11.1,5.51,55.12,Medium Risk
Area 99,City 99,Developed,77200.85,17.52,8.42,9.03,28.62,Low Risk
Area 100,City 100,Developed,130393.45,3.73,6.84,7.32,5.51,Low Risk
