Year,Region,Population Growth (%),Urbanization Rate (%),Infrastructure Growth (%),Poverty Rate (%),Slum Growth (%)
2023,"Siraspur, North Delhi",1.33,1.51,4.87,10.57,1.8
2024,"Siraspur, North Delhi",0.86,1.83,2.7,19.83,4.49
2025,"Siraspur, North Delhi",1.57,2.16,2.27,23.88,1.67
1995,"Zone 9 Teynampet, Chennai",1.47,2.52,2.35,26.66,3.82
1996,"Zone 9 Teynampet, Chennai",1.37,2.78,4.1,14.03,2.72
1997,"Zone 9 Teynampet, Chennai",1.24,1.11,4.86,12.57,3.79
1998,"Zone 9 Teynampet, Chennai",1.26,1.05,4.77,27.04,3.1
1999,"Zone 9 Teynampet, Chennai",0.84,1.24,3.09,15.11,3.03
2000,"Zone 9 Teynampet, Chennai",1.95,2.15,4.67,23.02,2.9
2001,"Zone 9 Teynampet, Chennai",1.78,1.94,4.61,15.83,1.52
2002,"Zone 9 Teynampet, Chennai",1.78,2.17,4.67,28.76,1.21
2003,"Zone 9 Teynampet, Chennai",1.25,1.75,3.88,25.87,2.12
2004,"Zone 9 Teynampet, Chennai",1.34,2.42,2.4,26.28,3.42
2005,"Zone 9 Teynampet, Chennai",1.92,1.68,2.32,20.13,1.34
2006,"Zone 9 Teynampet, Chennai",1.95,1.08,4.26,20.5,2.47
2007,"Zone 9 Teynampet, Chennai",0.6,2.24,3.76,15.62,4.64
2008,"Zone 9 Teynampet, Chennai",0.96,1.9,3.63,12,4.73
2009,"Zone 9 Teynampet, Chennai",1.06,1.16,3.16,22,3.05
2010,"Zone 9 Teynampet, Chennai",1.54,1.11,2.85,26.38,1.32
2011,"Zone 9 Teynampet, Chennai",1.78,1.18,4.5,17.22,3.45
2012,"Zone 9 Teynampet, Chennai",0.73,1.13,2.65,12.56,2.25
2013,"Zone 9 Teynampet, Chennai",1.27,2.18,4.37,23.12,3.44
2014,"Zone 9 Teynampet, Chennai",1.12,1.95,3.24,26.84,1.92
2015,"Zone 9 Teynampet, Chennai",0.51,2.3,2.61,27.8,4.44
2016,"Zone 9 Teynampet, Chennai",0.62,1.21,3.49,22.18,2.1
2017,"Zone 9 Teynampet, Chennai",1.58,2.19,2.97,10.51,4
2018,"Zone 9 Teynampet, Chennai",0.82,2.67,3.26,21.54,4.49
2019,"Zone 9 Teynampet, Chennai",1.8,1.74,2.63,25.5,2.73
2020,"Zone 9 Teynampet, Chennai",0.79,2.81,2.59,10.52,1.08
2021,"Zone 9 Teynampet, Chennai",1.43,2.32,2.93,16.4,2.36
2022,"Zone 9 Teynampet, Chennai",1.52,1.12,4.79,14.45,5
2023,"Zone 9 Teynampet, Chennai",0.76,2.54,2.67,11.62,4.5
2024,"Zone 9 Teynampet, Chennai",1.79,1.81,4.11,21.14,4.41
2025,"Zone 9 Teynampet, Chennai",0.97,2.05,3.46,17.08,4.57
1995,"Area Code: None, Munger",2.09,3.36,0.84,53.32,9.84
1996,"Area Code: None, Munger",3.16,4.24,1.12,40.53,13.62
1997,"Area Code: None, Munger",1.85,3.55,0.54,51.99,14.86
1998,"Area Code: None, Munger",1.7,3.06,0.96,67.15,13.69
1999,"Area Code: None, Munger",1.98,2.2,1.44,50.09,11.72
2000,"Area Code: None, Munger",1.56,2.33,1.53,46.37,13.58
2001,"Area Code: None, Munger",1.62,2.54,2,52.99,12.03
2002,"Area Code: None, Munger",1.87,3.52,1.59,49.43,13.29
2003,"Area Code: None, Munger",2.71,2.97,1.34,57.3,6.66
2004,"Area Code: None, Munger",2.31,2.86,1.1,62.83,9.83
2005,"Area Code: None, Munger",3.38,2.73,1.12,63.61,10.46
2006,"Area Code: None, Munger",2.59,2.13,1.1,48.12,14.99
2007,"Area Code: None, Munger",2.12,4.21,1.51,50.23,10.44
2008,"Area Code: None, Munger",3.18,4.21,0.74,50.19,8.35
2009,"Area Code: None, Munger",1.58,3.5,1.78,51.45,12.4
2010,"Area Code: None, Munger",2.76,2.94,0.71,61.28,13.55
2011,"Area Code: None, Munger",2.87,2.04,0.82,42.08,10.7
2012,"Area Code: None, Munger",3.01,2.28,1.76,56.67,11.9
2013,"Area Code: None, Munger",3.44,2.21,1.85,43.78,8.93
2014,"Area Code: None, Munger",3.2,4.27,1.26,57.82,12.08
2015,"Area Code: None, Munger",3.17,2.3,1.72,54.44,9.51
2016,"Area Code: None, Munger",2.35,3.27,1.92,56.45,14.53
2017,"Area Code: None, Munger",1.86,3.81,1.72,60.37,11.07
2018,"Area Code: None, Munger",2.63,4.15,1.73,43.67,13.49
2019,"Area Code: None, Munger",2.33,2.63,1.8,52.96,13.08
2020,"Area Code: None, Munger",2.03,2.01,1.24,43.01,12.54
2021,"Area Code: None, Munger",2.05,3.11,0.63,48.6,12.81
2022,"Area Code: None, Munger",1.8,3.62,1.88,60.4,13.11
2023,"Area Code: None, Munger",1.72,2.63,1.84,61.45,11.4
2024,"Area Code: None, Munger",2.83,3.04,0.57,63.53,11.79
2025,"Area Code: None, Munger",2.45,4.25,1,48.83,13.73
1995,"Shobha Bazar East, Kolkata",1.2,1.83,2.45,29.16,2.62
1996,"Shobha Bazar East, Kolkata",1.81,1.38,3.64,10.48,4.06
1997,"Shobha Bazar East, Kolkata",1.37,2.25,2.16,14.22,1.3
1998,"Shobha Bazar East, Kolkata",0.93,2.25,3.7,22.24,3.2
1999,"Shobha Bazar East, Kolkata",0.91,1.49,2.41,26.98,3.47
2000,"Shobha Bazar East, Kolkata",0.78,1.35,4.62,24.85,3.64
2001,"Shobha Bazar East, Kolkata",1.11,1.52,4.94,25.94,2.21
2002,"Shobha Bazar East, Kolkata",1.77,2.52,2.89,18.53,1.74
2003,"Shobha Bazar East, Kolkata",0.67,2.45,2.8,26.4,4.98
2004,"Shobha Bazar East, Kolkata",0.61,1.95,4.41,25.78,4.04
2005,"Shobha Bazar East, Kolkata",1.02,1.91,3.78,29.48,2.31
2006,"Shobha Bazar East, Kolkata",1.88,1.54,4.97,23.41,2.85
2007,"Shobha Bazar East, Kolkata",1.42,1.55,2.82,12.27,1.46
2008,"Shobha Bazar East, Kolkata",1.02,2.53,3.82,12.05,4.41
2009,"Shobha Bazar East, Kolkata",1.4,2.92,4.01,13.5,2.9
2010,"Shobha Bazar East, Kolkata",1.47,1.06,2.04,12.59,2.01
2011,"Shobha Bazar East, Kolkata",1.14,1.97,2.41,23.47,3.38
2012,"Shobha Bazar East, Kolkata",0.94,1.03,2.23,17.83,1.62
2013,"Shobha Bazar East, Kolkata",1.07,2.26,3.64,14.62,2.38
2014,"Shobha Bazar East, Kolkata",1.42,2.72,4.26,21.07,2.45
2015,"Shobha Bazar East, Kolkata",1.05,2.76,2.12,29.76,3.66
2016,"Shobha Bazar East, Kolkata",1.52,1.08,3.82,19.7,1.42
2017,"Shobha Bazar East, Kolkata",0.92,2.78,3.65,18.27,1.29
2018,"Shobha Bazar East, Kolkata",1.57,2.41,3.84,20.21,2.74
2019,"Shobha Bazar East, Kolkata",1.39,1.47,4.82,21.78,2.24
2020,"Shobha Bazar East, Kolkata",1.17,2.61,2.48,15.86,3.72
2021,"Shobha Bazar East, Kolkata",0.97,2.59,2.39,25.25,1.27
2022,"Shobha Bazar East, Kolkata",0.52,2.8,3.74,17.04,1.93
2023,"Shobha Bazar East, Kolkata",1.43,2.02,4.97,29.66,3.54
2024,"Shobha Bazar East, Kolkata",1.16,1.98,4.05,12.03,2.31
2025,"Shobha Bazar East, Kolkata",0.61,1.15,2.59,19.71,4.14
1995,"Aliganj, Lucknow",1.23,1.52,4.26,24.43,1.56
1996,"Aliganj, Lucknow",1.82,1.36,4.39,19.14,2.31
1997,"Aliganj, Lucknow",0.74,1.34,3.99,21.01,1.49
1998,"Aliganj, Lucknow",0.67,1.14,4.23,24.24,1.23
1999,"Aliganj, Lucknow",1.34,1.17,4.71,28.14,3.79
2000,"Aliganj, Lucknow",1.89,2.62,4.49,21.39,2.22
2001,"Aliganj, Lucknow",0.83,1.65,3.89,13.45,2.03
2002,"Aliganj, Lucknow",1.2,1.47,3.77,28.46,3.99
2003,"Aliganj, Lucknow",1.5,2.17,3.46,13.73,4.58
2004,"Aliganj, Lucknow",0.87,1.18,4.25,13.51,2.49
2005,"Aliganj, Lucknow",0.54,1.27,2.52,11.09,3.63
2006,"Aliganj, Lucknow",1.76,1.75,4.62,14.27,2.3
2007,"Aliganj, Lucknow",0.73,2.24,3.26,22.27,4.05
2008,"Aliganj, Lucknow",1.32,2.26,4.81,15.98,2.44
2009,"Aliganj, Lucknow",1.58,2.22,2.54,17.52,2.87
2010,"Aliganj, Lucknow",1.13,1.36,4.77,25.25,2.93
2011,"Aliganj, Lucknow",1.52,2.79,2.41,15.01,3.17
2012,"Aliganj, Lucknow",1.7,1.07,4.95,19.1,2.44
2013,"Aliganj, Lucknow",0.94,1.35,4.37,29.11,2.65
2014,"Aliganj, Lucknow",1.93,2.65,3.44,23.48,2.74
2015,"Aliganj, Lucknow",1.34,1.12,4.09,11.06,4.27
2016,"Aliganj, Lucknow",1.74,1.47,2.97,19.63,3.39
2017,"Aliganj, Lucknow",0.93,2.18,2.89,11.11,1.01
2018,"Aliganj, Lucknow",0.65,2.58,4.88,18.54,3.05
2019,"Aliganj, Lucknow",0.72,2.1,2.43,22.22,4.73
2020,"Aliganj, Lucknow",0.79,2.53,2.07,17.51,1.44
2021,"Aliganj, Lucknow",1.03,1.35,3.12,18.35,2.2
2022,"Aliganj, Lucknow",1.48,2.84,3.2,13.85,2.08
2023,"Aliganj, Lucknow",1.78,2.14,3.37,12.99,2.8
2024,"Aliganj, Lucknow",0.92,2.89,4.65,11.68,3.07
2025,"Aliganj, Lucknow",0.84,1.82,4.63,20.55,2.34
1995,"Area Code: 440013, Nagpur",0.77,1.62,3.53,27.26,2.67
1996,"Area Code: 440013, Nagpur",1.62,2.71,2.93,17.86,2.43
1997,"Area Code: 440013, Nagpur",1.75,1.09,2.93,23.59,3.26
1998,"Area Code: 440013, Nagpur",1.15,2.08,2.59,18.61,3.01
1999,"Area Code: 440013, Nagpur",1.85,1.52,4.6,22.88,1.08
2000,"Area Code: 440013, Nagpur",1.59,1.07,4.99,27.45,2.19
2001,"Area Code: 440013, Nagpur",0.89,1.76,3.07,17.45,2.27
2002,"Area Code: 440013, Nagpur",1.43,1.33,4.54,26.25,2.91
2003,"Area Code: 440013, Nagpur",1.78,1.49,2.05,22.38,2.83
2004,"Area Code: 440013, Nagpur",1.35,2.8,4.91,22.69,4.06
2005,"Area Code: 440013, Nagpur",0.63,1.32,4.2,18.63,2.78
2006,"Area Code: 440013, Nagpur",0.96,2.21,2.56,22.54,1.7
2007,"Area Code: 440013, Nagpur",0.6,1.66,2.69,27.78,1.22
2008,"Area Code: 440013, Nagpur",0.76,2.1,3.44,10.92,1.03
2009,"Area Code: 440013, Nagpur",1.98,2.32,3.1,19.41,2.07
2010,"Area Code: 440013, Nagpur",1.02,2.3,4.65,13.68,4.36
2011,"Area Code: 440013, Nagpur",0.68,1.43,2.11,12.82,4.67
2012,"Area Code: 440013, Nagpur",1.19,1.16,4.88,27.58,4.02
2013,"Area Code: 440013, Nagpur",1.9,1.44,4.51,23.8,4.48
2014,"Area Code: 440013, Nagpur",1.7,1.69,4.32,15.25,2.31
2015,"Area Code: 440013, Nagpur",0.66,2.87,2.87,20.41,2.57
2016,"Area Code: 440013, Nagpur",1.94,1.67,4.34,27.11,2.74
2017,"Area Code: 440013, Nagpur",1.07,2.5,4.74,25.1,1.91
2018,"Area Code: 440013, Nagpur",1.83,1.78,3.73,26.63,1.75
2019,"Area Code: 440013, Nagpur",1.68,2.19,4.68,13.44,2.68
2020,"Area Code: 440013, Nagpur",1.75,1.04,2.34,29.81,2.12
2021,"Area Code: 440013, Nagpur",1.96,1.37,3.08,25.06,3.63
2022,"Area Code: 440013, Nagpur",1.37,2.06,4.53,14.7,2.77
2023,"Area Code: 440013, Nagpur",0.73,2.19,2.75,16.68,2.89
2024,"Area Code: 440013, Nagpur",0.54,1.18,4.06,18.58,4.46
2025,"Area Code: 440013, Nagpur",1.54,1.02,3.85,11.87,4.12
1995,"Naroda, Ahmedabad",0.91,2.15,4.8,10.7,4.08
1996,"Naroda, Ahmedabad",1.58,2.93,4.79,25.24,3.08
1997,"Naroda, Ahmedabad",0.81,2.09,4.3,27.91,4.16
1998,"Naroda, Ahmedabad",0.79,2.2,3,10.18,1.8
1999,"Naroda, Ahmedabad",0.67,2.69,2.78,15.69,4.84
2000,"Naroda, Ahmedabad",1.07,1.02,2.85,12.39,1.41
2001,"Naroda, Ahmedabad",0.62,2.19,2.57,17.22,4.45
2002,"Naroda, Ahmedabad",1.14,2.83,3.49,17.98,4
2003,"Naroda, Ahmedabad",0.61,1.18,3.96,19.74,4.16
2004,"Naroda, Ahmedabad",1.87,1.78,3.79,20.01,4.93
2005,"Naroda, Ahmedabad",1.75,2.82,2.76,25.45,2.06
2006,"Naroda, Ahmedabad",0.81,2.89,2.06,29.31,1.6
2007,"Naroda, Ahmedabad",1.73,1.55,3.05,14.34,3.34
2008,"Naroda, Ahmedabad",1.02,2.31,2.05,11.29,1.4
2009,"Naroda, Ahmedabad",1.13,2.63,4.66,14.9,3.3
2010,"Naroda, Ahmedabad",1.65,1.58,3.23,20.48,1.54
2011,"Naroda, Ahmedabad",0.54,1.31,3.88,11.47,1.76
2012,"Naroda, Ahmedabad",1.01,1.16,2.58,28.23,1.08
2013,"Naroda, Ahmedabad",1.48,1.77,4.02,21.77,1.89
2014,"Naroda, Ahmedabad",1.77,1.98,4.47,18.12,4.94
2015,"Naroda, Ahmedabad",1.66,2.93,3.54,19.47,4.02
2016,"Naroda, Ahmedabad",1.82,2.93,2.97,25.97,1.84
2017,"Naroda, Ahmedabad",1.32,1.36,3.04,28.63,1.58
2018,"Naroda, Ahmedabad",1.45,2.19,2.36,16.52,3.25
2019,"Naroda, Ahmedabad",0.78,2.6,4.92,14.3,1.75
2020,"Naroda, Ahmedabad",1.18,2.5,2.84,10.4,3.16
2021,"Naroda, Ahmedabad",1.93,1.78,3.26,29.38,3.78
2022,"Naroda, Ahmedabad",1.58,2.13,4.92,23.78,4.58
2023,"Naroda, Ahmedabad",1.55,2.47,2.87,16.07,4.13
2024,"Naroda, Ahmedabad",0.95,2.13,2.75,26.34,1.44
2025,"Naroda, Ahmedabad",1.74,2.21,2.56,20.84,2.13
1995,"Chhatrasal Nagar, Bhopal",1.6,2.99,4.46,21.11,2.94
1996,"Chhatrasal Nagar, Bhopal",1.75,2.87,4.97,17.93,4.96
1997,"Chhatrasal Nagar, Bhopal",0.73,1.51,2.27,15.43,4.07
1998,"Chhatrasal Nagar, Bhopal",1.78,2.56,3.89,20.28,3.83
1999,"Chhatrasal Nagar, Bhopal",1.09,2.68,4.03,23.96,3.14
2000,"Chhatrasal Nagar, Bhopal",1.83,1.5,3.14,25.55,2.97
2001,"Chhatrasal Nagar, Bhopal",1.83,1.69,3.11,27.77,2.86
2002,"Chhatrasal Nagar, Bhopal",1.27,1.67,2.83,23.12,1.48
2003,"Chhatrasal Nagar, Bhopal",1.82,2.56,2.57,23.88,3.41
2004,"Chhatrasal Nagar, Bhopal",0.78,1.55,3.23,23.98,3.55
2005,"Chhatrasal Nagar, Bhopal",1.3,2.54,4.27,22.36,4.15
2006,"Chhatrasal Nagar, Bhopal",1,2.76,3.84,26.45,3.19
2007,"Chhatrasal Nagar, Bhopal",0.83,2.08,3.11,23.95,2.9
2008,"Chhatrasal Nagar, Bhopal",1.75,2.36,4.05,14.34,4.94
2009,"Chhatrasal Nagar, Bhopal",1.76,2.58,2.99,20.71,1.55
2010,"Chhatrasal Nagar, Bhopal",1.31,1.29,3.66,22.97,2.56
2011,"Chhatrasal Nagar, Bhopal",1.25,2.75,2.33,25.83,1.68
2012,"Chhatrasal Nagar, Bhopal",0.56,1.37,4.3,18.1,4.49
2013,"Chhatrasal Nagar, Bhopal",1.29,1.04,4.15,12.2,4.16
2014,"Chhatrasal Nagar, Bhopal",0.75,1.69,4.28,29.08,2.49
2015,"Chhatrasal Nagar, Bhopal",1.74,1.38,4.42,23.15,1.77
2016,"Chhatrasal Nagar, Bhopal",0.95,1.26,3.15,14.07,3.58
2017,"Chhatrasal Nagar, Bhopal",1.99,1.02,3.62,21.47,4.66
2018,"Chhatrasal Nagar, Bhopal",1.26,2.09,3.41,15.38,1.22
2019,"Chhatrasal Nagar, Bhopal",1.11,1.11,3.65,16.15,3.13
2020,"Chhatrasal Nagar, Bhopal",0.7,2.87,4.68,13.8,2.37
2021,"Chhatrasal Nagar, Bhopal",1.42,1.19,3.06,15.02,4.66
2022,"Chhatrasal Nagar, Bhopal",1.78,2.16,3.56,28.61,4.73
2023,"Chhatrasal Nagar, Bhopal",1.95,1.25,2.48,23.53,3.17
2024,"Chhatrasal Nagar, Bhopal",0.53,1.12,4.66,27.38,2.43
2025,"Chhatrasal Nagar, Bhopal",1.84,2.19,4.42,18.55,1.45
1995,"Rasoolpura, Hyderabad",1.8,2.88,4.98,29.18,1.02
1996,"Rasoolpura, Hyderabad",0.57,1.3,3.05,26.6,4.57
1997,"Rasoolpura, Hyderabad",0.78,2.24,4.75,19.27,1.41
1998,"Rasoolpura, Hyderabad",1.19,1.75,3.73,18.77,1.07
1999,"Rasoolpura, Hyderabad",1.99,2.09,3.42,29.09,1.62
2000,"Rasoolpura, Hyderabad",0.78,2.62,2.78,25.98,2.09
2001,"Rasoolpura, Hyderabad",0.55,2.03,2.59,25.16,3.56
2002,"Rasoolpura, Hyderabad",1.89,2.57,2.54,26,3.57
2003,"Rasoolpura, Hyderabad",1.5,2.66,3.72,19.32,3.55
2004,"Rasoolpura, Hyderabad",0.95,1.37,3.85,14.68,1.32
2005,"Rasoolpura, Hyderabad",0.5,2.22,3.09,25.05,2.5
2006,"Rasoolpura, Hyderabad",1.23,1.81,3.95,17.12,4.86
2007,"Rasoolpura, Hyderabad",1.9,2.7,4.76,18.98,3.15
2008,"Rasoolpura, Hyderabad",1.61,2.39,4.67,24.33,4.99
2009,"Rasoolpura, Hyderabad",1.02,2.67,4.09,23.83,2.3
2010,"Rasoolpura, Hyderabad",1.68,2.8,2.66,22.51,2.57
2011,"Rasoolpura, Hyderabad",1.98,1.96,2.68,17.64,3.62
2012,"Rasoolpura, Hyderabad",0.61,2.21,4.79,27.01,1.27
2013,"Rasoolpura, Hyderabad",1.99,2.4,2.49,10.25,1.69
2014,"Rasoolpura, Hyderabad",1.76,1.04,2.7,25.15,3.34
2015,"Rasoolpura, Hyderabad",1.67,2.49,2.15,27.85,1.91
2016,"Rasoolpura, Hyderabad",1.33,2.29,2.51,29.52,2.95
2017,"Rasoolpura, Hyderabad",0.59,2.87,3.76,23.98,3.1
2018,"Rasoolpura, Hyderabad",1.75,1.07,2.81,19.39,1.31
2019,"Rasoolpura, Hyderabad",1.56,1.79,2.82,10.07,3.88
2020,"Rasoolpura, Hyderabad",1.75,1.79,3.69,14.55,3.49
2021,"Rasoolpura, Hyderabad",0.52,1.98,3.93,28.36,2.53
2022,"Rasoolpura, Hyderabad",1.65,2.2,4.78,17.97,2.28
2023,"Rasoolpura, Hyderabad",1.83,1.1,2.41,11.65,4.37
2024,"Rasoolpura, Hyderabad",0.52,2.72,3.35,10.08,2.61
2025,"Rasoolpura, Hyderabad",0.78,2.25,4.04,19.75,1.16
1995,"Shobha Bazar East, Kolkata",0.77,2.32,2.47,28.08,1.92
1996,"Shobha Bazar East, Kolkata",0.94,2.7,3.38,10.48,2.98
1997,"Shobha Bazar East, Kolkata",0.63,2.97,3.76,15.13,3.25
1998,"Shobha Bazar East, Kolkata",0.62,2.6,4.78,27.49,2.37
1999,"Shobha Bazar East, Kolkata",0.99,1.07,3.95,20.7,2.84
2000,"Shobha Bazar East, Kolkata",1.86,1.34,2.03,11.47,1.89
2001,"Shobha Bazar East, Kolkata",0.55,2.01,2.94,13.61,4
2002,"Shobha Bazar East, Kolkata",0.81,2.38,3.05,20.24,4.74
2003,"Shobha Bazar East, Kolkata",0.56,2,4.56,21.76,2.11
2004,"Shobha Bazar East, Kolkata",1.1,2.36,4.67,10.82,1.29
2005,"Shobha Bazar East, Kolkata",0.99,1.47,2.79,14.43,1.78
2006,"Shobha Bazar East, Kolkata",0.7,2.87,2.43,14.09,1.99
2007,"Shobha Bazar East, Kolkata",1.9,2.51,4.37,12.1,4.35
2008,"Shobha Bazar East, Kolkata",1.11,1.53,3.73,26.44,4.11
2009,"Shobha Bazar East, Kolkata",1.83,2.86,2.71,18.48,1.06
2010,"Shobha Bazar East, Kolkata",1.82,1.31,4.58,16.59,2.47
2011,"Shobha Bazar East, Kolkata",0.56,1.65,4.67,10.51,2.63
2012,"Shobha Bazar East, Kolkata",0.55,1.74,2.52,15.04,4.51
2013,"Shobha Bazar East, Kolkata",1.15,1.55,3.77,12.84,2.04
2014,"Shobha Bazar East, Kolkata",1.32,1.48,4.04,19.83,4.09
2015,"Shobha Bazar East, Kolkata",1.92,1.23,3,16.39,1.6
2016,"Shobha Bazar East, Kolkata",1.72,2.52,3.45,20.76,1.24
2017,"Shobha Bazar East, Kolkata",1.33,2.58,3.72,15.31,3.67
2018,"Shobha Bazar East, Kolkata",1.04,2.09,3.46,17.62,3.88
2019,"Shobha Bazar East, Kolkata",1.83,1.01,4.8,20.23,3.8
2020,"Shobha Bazar East, Kolkata",1.78,1.93,4.5,13.55,1.64
2021,"Shobha Bazar East, Kolkata",1.49,2.74,4.68,22.87,3.1
2022,"Shobha Bazar East, Kolkata",1,2.96,2.96,24.88,3.13
2023,"Shobha Bazar East, Kolkata",1.41,1.79,4.89,21.43,4.75
2024,"Shobha Bazar East, Kolkata",0.51,2.15,4.15,24.9,4.62
2025,"Shobha Bazar East, Kolkata",0.51,1,3.42,10.59,4.9
1995,"Rasoolpura, Hyderabad",1.06,2.58,2.12,18.64,2.53
1996,"Rasoolpura, Hyderabad",1.47,2.93,3.53,29.74,2.21
1997,"Rasoolpura, Hyderabad",0.55,1.33,3.19,16.33,1.39
1998,"Rasoolpura, Hyderabad",1.15,1.68,2.37,15.92,4.55
1999,"Rasoolpura, Hyderabad",0.95,2.43,3.84,18.54,1.96
2000,"Rasoolpura, Hyderabad",1.05,2.18,3.05,14.3,1.47
2001,"Rasoolpura, Hyderabad",1.82,1.88,3.88,19.81,4.49
2002,"Rasoolpura, Hyderabad",1.32,1.96,4.77,24.39,1.45
2003,"Rasoolpura, Hyderabad",0.77,2.57,4.51,20.9,3.22
2004,"Rasoolpura, Hyderabad",1.45,1.88,4.04,12.17,4.85
2005,"Rasoolpura, Hyderabad",1.63,2.26,2.95,13.22,2.64
2006,"Rasoolpura, Hyderabad",1.49,2.27,3.15,22.27,4.25
2007,"Rasoolpura, Hyderabad",0.54,1.9,4.28,20.92,3.61
2008,"Rasoolpura, Hyderabad",1.28,2.98,2.16,19.82,1.37
2009,"Rasoolpura, Hyderabad",0.74,1.77,2.47,29.27,4.79
2010,"Rasoolpura, Hyderabad",1,2.28,3.6,26.31,3.51
2011,"Rasoolpura, Hyderabad",0.5,2.53,4.24,20.19,4.61
2012,"Rasoolpura, Hyderabad",1.86,2.05,3.82,29.93,2.2
2013,"Rasoolpura, Hyderabad",0.99,1.37,4.69,24.89,1.42
2014,"Rasoolpura, Hyderabad",1.97,2.46,4.55,10.96,3.02
2015,"Rasoolpura, Hyderabad",1.55,2.09,4,26.36,2.5
2016,"Rasoolpura, Hyderabad",1.77,1.33,2.81,10.87,2.46
2017,"Rasoolpura, Hyderabad",1.07,2.61,3.96,18.73,3.61
2018,"Rasoolpura, Hyderabad",0.58,1.36,3.88,22.83,4.1
2019,"Rasoolpura, Hyderabad",1.1,2.45,4.05,29.27,1.86
2020,"Rasoolpura, Hyderabad",1.33,2.2,5,14.02,3.09
2021,"Rasoolpura, Hyderabad",1.02,2.05,2.7,10.95,3.29
2022,"Rasoolpura, Hyderabad",1,1.36,2.97,10.99,4.8
2023,"Rasoolpura, Hyderabad",1.37,2.63,3.27,28.07,2.93
2024,"Rasoolpura, Hyderabad",1.36,1.98,4.2,21.33,2.09
2025,"Rasoolpura, Hyderabad",0.72,2.21,3.47,11.92,2.58
1995,"Aliganj, Lucknow",1.62,2.26,3.28,28.04,3.6
1996,"Aliganj, Lucknow",1.1,1.17,2.87,20.87,2.1
1997,"Aliganj, Lucknow",0.83,2.05,2.51,26.01,2.94
1998,"Aliganj, Lucknow",1.36,1.29,2.97,18.2,4.23
1999,"Aliganj, Lucknow",1.66,1.45,3.85,14.87,4.95
2000,"Aliganj, Lucknow",1.93,2.13,4.1,26.03,3.88
2001,"Aliganj, Lucknow",1.55,2.92,3.79,22.73,4.4
2002,"Aliganj, Lucknow",1.5,2.47,2.7,17.43,1.59
2003,"Aliganj, Lucknow",1.26,1.91,4.99,22.22,4.15
2004,"Aliganj, Lucknow",1,2.66,3.85,23.94,2.18
2005,"Aliganj, Lucknow",1.32,2.27,3.77,28.3,4.59
2006,"Aliganj, Lucknow",1.96,2.33,4.92,26.65,2.08
2007,"Aliganj, Lucknow",1.14,1.48,2.01,13.76,1.02
2008,"Aliganj, Lucknow",1.58,1.85,2.94,25.23,4.33
2009,"Aliganj, Lucknow",1.96,2.28,3.38,16.11,1.89
2010,"Aliganj, Lucknow",0.82,1.82,4.98,10.02,1.79
2011,"Aliganj, Lucknow",0.78,2.43,3.06,19.15,1.59
2012,"Aliganj, Lucknow",1.11,1.21,3.6,11.96,4.16
2013,"Aliganj, Lucknow",1.35,2.45,3.26,17.63,1.39
2014,"Aliganj, Lucknow",1.29,2.03,3.4,24.81,4.33
2015,"Aliganj, Lucknow",1.63,1.29,3.87,11.61,3.78
